Entry Number,File Name,SMILES,Ered,HOMO,Gsol,Absorption Wavelength
0,BTZ-Neutral-wb97xd-1000,CCOCN(C(C)=O)c1c(OC)c(C#N)c([N+](=O)[O-])c2nsnc12,3.00628376,-8.8116864,-0.79061376,381.65
1,BTZ-Neutral-wb97xd-1001,CCOCN(C(C)=O)c1c(OC)c(C#N)c(S(=O)(=O)N(C)C)c2nsnc12,2.5117148,-8.7948162,-1.09691673,354.74
2,BTZ-Neutral-wb97xd-1002,CCOCN(C(C)=O)c1c(OC)c(OC)c(C)c2nsnc12,1.71519647,-8.2541535,-0.78021954,334.28
3,BTZ-Neutral-wb97xd-1003,CCOCN(C(C)=O)c1c(OC)c(OC)c(C(F)(F)F)c2nsnc12,1.93246832,-8.7458382,-0.73733658,319.72
4,BTZ-Neutral-wb97xd-1004,CCOCN(C(C)=O)c1c(OC)c(OC)c(C#N)c2nsnc12,2.19814676,-8.6438007,-0.82816356,336.77
5,BTZ-Neutral-wb97xd-1005,CCOCN(C(C)=O)c1c(OC)c(OC)c(OC)c2nsnc12,1.7566373,-8.2533372,-0.6609309,335.4
6,BTZ-Neutral-wb97xd-1006,CCOCN(C(C)=O)c1c(OC)c(OC)c(OC(F)(F)F)c2nsnc12,2.0317304,-8.6043462,-0.63342159,328.5
7,BTZ-Neutral-wb97xd-1007,CCOCN(C(C)=O)c1c(OC)c(OC)c(SC)c2nsnc12,1.85543681,-8.1273549,-0.69752835,360.74
8,BTZ-Neutral-wb97xd-1008,CCOCN(C(C)=O)c1c(OC)c(OC)c(SC(F)(F)F)c2nsnc12,1.96980044,-8.6895135,-0.71948682,323.24
9,BTZ-Neutral-wb97xd-1009,CCOCN(C(C)=O)c1c(OC)c(OC)c(Br)c2nsnc12,1.93116224,-8.4748266,-0.74378535,334.82
10,BTZ-Neutral-wb97xd-1010,CCOCN(C(C)=O)c1c(OC)c(OC)c(N(C)C)c2nsnc12,1.6706537,-7.5347211,-0.81183756,401.25
11,BTZ-Neutral-wb97xd-1011,CCOCN(C(C)=O)c1c(OC)c(OC)c([N+](=O)[O-])c2nsnc12,2.29066076,-8.6941392,-0.85735989,351.57
12,BTZ-Neutral-wb97xd-1012,CCOCN(C(C)=O)c1c(OC)c(OC)c(S(=O)(=O)N(C)C)c2nsnc12,1.9022108,-8.6410797,-1.11596373,320.18
13,BTZ-Neutral-wb97xd-1013,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(C)c2nsnc12,1.89611576,-8.4916968,-0.68512059,332.86
14,BTZ-Neutral-wb97xd-1014,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(C(F)(F)F)c2nsnc12,2.27615783,-8.799714,-0.66874017,327.78
15,BTZ-Neutral-wb97xd-1015,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(C#N)c2nsnc12,2.48902166,-8.6451612,-0.74100993,363.43
16,BTZ-Neutral-wb97xd-1016,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(OC)c2nsnc12,2.02011173,-8.2087128,-0.70264383,359.58
17,BTZ-Neutral-wb97xd-1017,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(OC(F)(F)F)c2nsnc12,2.09012306,-8.6206722,-0.58874277,334.43
18,BTZ-Neutral-wb97xd-1018,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(SC)c2nsnc12,1.95167858,-8.3004105,-0.68686203,353.4
19,BTZ-Neutral-wb97xd-1019,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(SC(F)(F)F)c2nsnc12,2.20056845,-9.0451482,-0.8211978,311.39
20,BTZ-Neutral-wb97xd-1020,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(Br)c2nsnc12,2.1032927,-8.8013466,-0.76190721,321.78
